References	Qty	Description	Part Number	Manufacturer	Mouser
R1	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL
R2	1	22K 1206	RC1206FR-0722KL	Yageo	603-RC1206FR-0722KL
R3	1	1K 1206	RC1206FR-071KL	Yageo	603-RC1206FR-071KL
R4	1	100 1206	RC1206FR-07100RL	Yageo	603-RC1206FR-07100RL
R5	1	4.7K 1206	RC1206FR-074K7L	Yageo	603-RC1206FR-074K7L
C1	1	10nF 1206	C1206C103K5RACTU	KEMET	80-C1206C103K5R
C2	1	100nF 1206	C1206C104K5RACTU	KEMET	80-C1206C104K5R
LED	1	TOP-led	AA3528SURSK	Kingbright	604-AA3528SURSK
NEO	1	SK6812 LED	SK6812		
IC1	1	Attiny85	ATtiny85-20SU	Microchip Technology / Atmel	556-ATTINY85-20SU
B1	1	Button	95C04A3GWRT	Grayhill	706-95C04A3GWRT
Buz	1	Buzzer/speaker	PS1550L40N	TDK	810-PS1550L40N
Jack	1	Mini-Jack female 3.5mm	SJ-43504-SMT-TR	CUI	490-SJ-43504-SMT-TR
Sensor	1	Temperature Sensor	DS18B20+	Maxim Integrated	700-DS18B20+
